"url","abstract","short_abstract","T5","BART","BART-CNN","abs"
"Pope_Sixtus_I","Pope Sixtus I (42 – 125) was the Bishop of Rome from c. 115 to his death c. 124.  He succeeded Pope Alexander I and was succeeded by Pope Telesphorus. In the oldest documents, Xystus (from the Greek word for ""polished"") is the spelling used for the first three popes of that name. Pope Sixtus I is also the sixth Pope after Peter, leading to questions whether the name ""Sixtus"" (meaning ""sixth"") is fictitious. The Holy See's Annuario Pontificio (2012) identifies him as a Roman who served from 117 or 119 to 126 or 128.  According to the Liberian Catalogue of popes, he served the Church during the reign of Hadrian ""a consulatu Negro et Aproniani usque Vero III et Ambibulo"", that is, from 117 to 126.  Eusebius states in his Chronicon that Sixtus I was pope from 114 to 124, while his Historia Ecclesiastica, using a different catalogue of popes, claims his rule from 114 to 128. All authorities agree that he reigned about ten years. Sixtus I instituted several Roman Catholic liturgical and administrative traditions. Like most of his predecessors, Sixtus I was believed to be buried near Saint Peter's grave on Vatican Hill, although there are differing traditions concerning where his body lies today. He was a Roman by birth, and his father's name was Pastor. According to the Liber Pontificalis (ed. Duchesne, I.128), he passed the following three ordinances:Alban Butler (Lives of the Saints, 6 April) states that Clement X gave some of his relics to Cardinal de Retz, who placed them in the Abbey of St. Michael in Lorraine. The Xystus who is commemorated in the Catholic Canon of the Mass is Xystus II, not Xystus I.His feast is celebrated on 6 April.","Pope Sixtus I (42 – 124/126/128), also spelled Xystus, a Roman of Greek descent, was the bishop of Rome from c. 115 to his death. He succeeded Pope Alexander I and was in turn succeeded by Pope Telesphorus. His feast is celebrated on 6 April.","Pope Sixtus I (42 – 125) was the Bishop of Rome from c. 115 to his death c. 124. he succeeded Pope Alexander I and was succeeded by Pope Telesphorus. he was a roman by birth, and his father's name was Pastor.","Pope Sixtus I was the Bishop of Rome from c. 115 to his death c. 124. He succeeded Pope Alexander I and was succeeded by Pope Telesphorus.","Pope Sixtus I was the Bishop of Rome from c. 115 to his death c. 124. He succeeded Pope Alexander I and was succeeded by Pope Telesphorus.","Pope sixtus i (42 – 125) was the bishop of rome from c. 115 to his death c. 124, succeeded pope alexander i and was succeeded by pope telesphorus. He was a roman by birth, believed to be buried near saint peter's grave on vatican hill."
"Skepticism","Skepticism or scepticism (see spelling differences) is generally any questioning attitude towards knowledge, facts, or opinions/beliefs stated as facts, or doubt regarding claims that are taken for granted elsewhere.Philosophical skepticism is an overall approach that requires all information to be well supported by evidence. Classical philosophical skepticism derives from the 'Skeptikoi', a school who ""asserted nothing"". Adherents of Pyrrhonism (and more recently, partially synonymous with Fallibilism), for instance, suspend judgment in investigations. Skeptics may even doubt the reliability of their own senses. Religious skepticism, on the other hand, is ""doubt concerning basic religious principles (such as immortality, providence, and revelation)"". Scientific skepticism is about testing scientific beliefs for reliability, by subjecting them to systematic investigation using the scientific method, to discover empirical evidence for them.","Skepticism (American and Canadian English) or scepticism (British, Irish, Australian, and New Zealand English) is generally a questioning attitude or doubt towards one or more putative instances of knowledge which are asserted to be mere belief or dogma. Formally, skepticism is a topic of interest in philosophy, particularly epistemology. More informally, skepticism as an expression of questioning or doubt can be applied to any topic, such as politics, religion, or pseudoscience. It is often applied within restricted domains, such as morality (moral skepticism), theism (skepticism about the existence of God), or the supernatural.","skepticism is generally any questioning attitude towards knowledge, facts, or opinions/beliefs stated as facts. classical philosophical skepticism derives from the'skeptikoi', a school who ""asserted nothing"" scientific skepticism is about testing scientific beliefs for reliability.","Skepticism or scepticism (see spelling differences) is generally any questioning attitude towards knowledge, facts, or opinions/beliefs stated as facts, or doubt regarding claims that are taken for granted elsewhere.Philosophical skepticism is an overall approach that requires all information to be well supported by evidence. Classical philosophical skepticism derives from the 'Skeptikoi', a school who ""asserted nothing"". Adherents of Pyrrhonism (and more recently, partially synonymous with Fallibilism), for instance, have ""doubt concerning basic religious principles (such as immortality, providence, and revelation)"".","Skepticism or scepticism (see spelling differences) is generally any questioning attitude towards knowledge, facts, or opinions/beliefs stated as facts, or doubt regarding claims that are taken for granted elsewhere.Philosophical skepticism is an overall approach that requires all information to be well supported by evidence. Classical philosophical skepticism derives from the 'Skeptikoi', a school who ""asserted nothing"". Adherents of Pyrrhonism (and more recently, partially synonymous with Fallibilism), for instance, have ""doubt concerning basic religious principles (such as immortality, providence, and revelation)"".","Skepticism or scepticism is generally any questioning attitude towards knowledge, facts, or opinions/beliefs stated as facts. Religious skepticism is ""doubt concerning basic religious principles (such as immortality, providence, and revelation) scientific skepticism is about testing scientific beliefs for reliability, by subjecting them to systematic investigation."
"Neuropil","Neuropil, sometimes referred to as ""neuropile,"" is a broad term defined as any area in the nervous system composed of mostly unmyelinated axons, dendrites and glial cell processes that forms a synaptically dense region containing a relatively low number of cell bodies. The most prevalent anatomical region of neuropil is the brain which, although not completely composed of neuropil, does have the largest and highest synaptically-concentrated areas of neuropil in the body. For example, the neocortex and olfactory bulb both contain neuropil. White matter, which is mostly composed of axons and glial cells, is generally not considered to be a part of the neuropil.[citation needed]Neuropil (pl. neuropils) comes from the Greek: neuro, meaning ""tendon, sinew; nerve"" and pilos, meaning ""felt."" The term's origin can be traced back to the late 19th century.","Neuropil (or \""neuropile\"") is any area in the nervous system composed of mostly unmyelinated axons, dendrites and glial cell processes that forms a synaptically dense region containing a relatively low number of cell bodies. The most prevalent anatomical region of neuropil is the brain which, although not completely composed of neuropil, does have the largest and highest synaptically concentrated areas of neuropil in the body. For example, the neocortex and olfactory bulb both contain neuropil.","neuropil is any area in the nervous system composed of mostly unmyelinated axons, dendrites and glial cell processes. white matter, which is mostly composed of axons and glial cells, is generally not considered to be a part of the neuropil. the term's origin can be traced back to the late 19th century.","Neuropil, sometimes referred to as ""neuropile,"" is a broad term defined as any area in the nervous system composed of mostly unmyelinated axons, dendrites and glial cell processes that forms a synaptically dense region containing a relatively low number of cell bodies","Neuropil, sometimes referred to as ""neuropile,"" is a broad term defined as any area in the nervous system composed of mostly unmyelinated axons, dendrites and glial cell processes that forms a synaptically dense region containing a relatively low number of cell bodies","Neuropil is a broad term for an area of nervous system composed of mostly unmyelinated axons, dendrites and glial cell processes. Neuropil comes from the greek: neuro, meaning ""tendon, sinew; nerve"" and pilos, meaning 'felt'"
"Penicillin","Penicillin (sometimes abbreviated PCN or pen) is a group of antibiotics derived from Penicillium fungi,  including penicillin G ( intravenous use), penicillin V (oral use), procaine penicillin, and benzathine penicillin ( intramuscular use). Penicillin antibiotics were among the first drugs to be effective against many previously serious diseases, such as bacterial infections caused by staphylococci and streptococci. Penicillins are still widely used today, though misuse has now made many types of bacteria resistant. All penicillins are β-lactam antibiotics and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.Several enhanced penicillin families also exist, effective against additional bacteria: these include the antistaphylococcal penicillins, aminopenicillins and the more-powerful antipseudomonal penicillins.","Penicillins (P, PCN or PEN) are a group of antibiotics originally obtained from Penicillium moulds, principally P. chrysogenum and P. rubens. Most penicillins in clinical use are chemically synthesised from naturally-produced penicillins. A number of natural penicillins have been discovered, but only two purified compounds are in clinical use: penicillin G (intramuscular or intravenous use) and penicillin V (given by mouth). Penicillins were among the first medications to be effective against many bacterial infections caused by staphylococci and streptococci. They are members of the β-lactam antibiotics. They are still widely used today for different bacterial infections, though many types of bacteria have developed resistance following extensive use.","penicillin is a group of antibiotics derived from penicillium fungi. penicillin antibiotics were among the first drugs to be effective against many previously serious diseases. penicillin is still widely used today, though misuse has made many types of bacteria resistant.","Penicillin antibiotics were among the first drugs to be effective against many previously serious diseases, such as bacterial infections caused by staphylococci and streptococci. Penicillins are still widely used today, though misuse has now made many types of bacteria resistant. All penicillins are β-lactam antibiotics and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.Several enhanced penicillin families also exist, effective against additional bacteria: these include the antistaphylococcal penicillins, aminopenicillins and the more-powerful antipseudomonal penicillins.","Penicillin antibiotics were among the first drugs to be effective against many previously serious diseases, such as bacterial infections caused by staphylococci and streptococci. Penicillins are still widely used today, though misuse has now made many types of bacteria resistant. All penicillins are β-lactam antibiotics and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.Several enhanced penicillin families also exist, effective against additional bacteria: these include the antistaphylococcal penicillins, aminopenicillins and the more-powerful antipseudomonal penicillins.","Penicillin (sometimes abbreviated pcn or pen) is a group of antibiotics derived from penicillium fungi. Penicillin was among the first drugs to be effective against many previously serious diseases, such as bacterial infections caused by staphylococci and streptococci."
"Joseph_Conrad","Joseph Conrad (born Józef Teodor Konrad Korzeniowski;3 December 1857 – 3 August 1924) was a Polish author who wrote in English after settling in England.  He was granted British nationality in 1886, but always considered himself a Pole.  Conrad is regarded as one of the greatest novelists in English,  and though he did not speak the language fluently until he was in his twenties (and always with a marked accent), he was a master prose stylist who brought a distinctly non-English sensibility into English literature.  He wrote stories and novels, many with a nautical setting, that depict trials of the human spirit in the midst of an indifferent universe. However, the sea is not an important element in major works like Nostromo, The Secret Agent and Under Western Eyes. Joseph Conrad is considered an early modernist, though his works still contain elements of nineteenth-century realism. His narrative style and anti-heroic characters have influenced many authors, including T.S. Eliot, William Faulkner, Graham Greene and more recently Salman Rushdie. Many films have been adapted from, or inspired by, works of Conrad.Writing in the heyday of the British Empire, Conrad drew on his native Poland's national experiences and on his own experiences in the French and British merchant navies to create short stories and novels that reflect aspects of a European-dominated world, while profoundly exploring human psychology. Appreciated early on by literary critics, his fiction and nonfiction have since been seen as almost prophetic, in the light of subsequent national and international disasters in the 20th and 21st centuries.","Joseph Conrad (born Józef Teodor Konrad Korzeniowski, Polish: [ˈjuzɛf tɛˈɔdɔr ˈkɔnrat kɔʐɛˈɲɔfskʲi]; 3 December 1857 – 3 August 1924) was a Polish-British writer regarded as one of the greatest novelists to write in the English language. Though he did not speak English fluently until his twenties, he came to be regarded a master prose stylist who brought a non-English sensibility into English literature. He wrote stories and novels, many with a nautical setting, that depict trials of the human spirit in the midst of what he saw as an impassive, inscrutable universe.","Joseph conrad was a polish author who wrote in english after settling in england. he was granted British nationality in 1886, but always considered himself a Pole. his narrative style and anti-heroic characters have influenced many authors.","Joseph Conrad (born Józef Teodor Konrad Korzeniowski;3 December 1857 – 3 August 1924) was a Polish author who wrote in English after settling in England. He was granted British nationality in 1886, but always considered himself a Pole. Conrad is regarded as one of the greatest novelists in English, and though he did not speak the language fluently until he was in his twenties (and always with a marked accent), he was a master prose stylist.","Joseph Conrad (born Józef Teodor Konrad Korzeniowski;3 December 1857 – 3 August 1924) was a Polish author who wrote in English after settling in England. He was granted British nationality in 1886, but always considered himself a Pole. Conrad is regarded as one of the greatest novelists in English, and though he did not speak the language fluently until he was in his twenties (and always with a marked accent), he was a master prose stylist.","Joseph Conrad was a Polish-born author who settled in England in the late 1800s and early 1900s. He is regarded as one of the greatest novelists in English literature, though he did not speak English fluently until he was in his twenties. His works have influenced many authors, including t.S. eliot, william faulkner, graham greene and salman rushdie."
"Johnny_Weissmuller","Johnny Weissmuller (born Peter Johann Weißmüller; June 2, 1904 – January 20, 1984) was an American competition swimmer and actor best known for playing Tarzan in films of the 1930s and 1940s and for having one of the best competitive swimming records of the 20th century. Weissmuller was one of the world's fastest swimmers in the 1920s, winning five Olympic gold medals for swimming and one bronze medal for water polo. He won fifty-two U.S. National Championships, set more than fifty world records, both in freestyle and backstroke, and was purportedly undefeated in official competition for the entirety of his competitive career. After retiring from competitions, he became the sixth actor to portray Edgar Rice Burroughs's ape man, Tarzan, a role he played in twelve motion pictures. Dozens of other actors have also played Tarzan, but Weissmuller is by far the best known. His character's distinctive Tarzan yell is still often used in films.","Johnny Weissmuller (born Johann Peter Weißmüller; June 2, 1904 – January 20, 1984) was an American actor and Olympic swimmer. He was known for portraying Edgar Rice Burroughs' Tarzan in Tarzan the Ape Man, five sequels produced by MGM, and six additional films by RKO. Weissmuller was also known for having one of the best competitive swimming records of the 20th century. Weissmuller set numerous world records alongside winning five gold medals in the Olympics. He won the 100m freestyle and the 4 × 200 m relay team event in 1924 at the Paris Games and again in 1928 at the Amsterdam Games. Weissmuller also won gold in the 400m freestyle, as well as a bronze medal in the water polo competition in Paris.","Johnny weissmuller was one of the world's fastest swimmers in the 1920s. he set more than fifty world records, both in freestyle and backstroke. he became the sixth actor to portray Edgar rice burroughs's ape man, Tarzan.","smuller (born Peter Johann Weißmüller; June 2, 1904 – January 20, 1984) was an American competition swimmer and actor best known for playing Tarzan in films of the 1930s and 1940s and for having one of the best competitive swimming records of the 20th century.","smuller (born Peter Johann Weißmüller; June 2, 1904 – January 20, 1984) was an American competition swimmer and actor best known for playing Tarzan in films of the 1930s and 1940s and for having one of the best competitive swimming records of the 20th century.","Johnny Weissmuller was one of the world's fastest swimmers in the 1920s, winning five olympic gold medals for swimming and one bronze medal for water polo, he won fifty-two U.S. national championships and set more than fifty world records."
"1396","Year 1396 (MCCCXCVI) was a leap year starting on Saturday (link will display the full calendar) of the Julian calendar.","Year 1396 (MCCCXCVI) was a leap year starting on Saturday (link will display the full calendar) of the Julian calendar.","1396 (MCCCXCVI) was a leap year starting on Saturday (link will display the full calendar) of the Julian calendar. year 1396 (MCCCXCVI) was a leap year starting on saturday (link will display the full calendar) of the julian calendar.","Year 1396 (MCCCXCVI) was a leap year starting on Saturday (link will display the full calendar) of the Julian calendar.","Year 1396 (MCCCXCVI) was a leap year starting on Saturday (link will display the full calendar) of the Julian calendar.","Year 1396 was a leap year starting on Saturday, January 31, 1396. Year 1396 is also known as the Year of the Sun, which began on January 21, 1581. The year 1396 has been celebrated as the year of Saturn in the Book of recorded history."
"Pope_Clement_IV","Pope Clement IV (Latin: Clemens IV; 23 November 1190/1200 – 29 November 1268), born Guy Foucois called in later life le Gros (Guy Foulques the Fat; Italian: Guido Fulcodi il Grosso), was Pope from 5 February 1265 to his death in 1268.He was elected in an election held at Perugia that lasted four months while cardinals argued over whether to call in Charles of Anjou, the youngest brother of King Louis IX of France to carry on the papal war against the imperial house of Hohenstaufen.","Pope Clement IV (Latin: Clemens IV; c. 23 November 1190 – 29 November 1268), born Gui Foucois (Latin: Guido Falcodius; French: Guy de Foulques or Guy Foulques) and also known as Guy le Gros (French for \""Guy the Fat\""; Italian: Guido il Grosso), was bishop of Le Puy (1257–1260), archbishop of Narbonne (1259–1261), cardinal of Sabina (1261–1265), and head of the Catholic Church from 5 February 1265 until his death. His election as pope occurred at a conclave held at Perugia that lasted four months while cardinals argued over whether to call in Charles I of Anjou, the youngest brother of Louis IX of France, to carry on the papal war against the Hohenstaufens. Pope Clement was a patron of Thomas Aquinas and of Roger Bacon, encouraging Bacon in the writing of his Opus Majus, which included impor","Pope clement IV was born in 1190 and was called in later life le Gros. he was elected in an election held at perugia that lasted four months. he was elected in an election held at perugia.","nal: Pope Clement IV (Latin<s> summarize: Pope Clement IV (Latin<s> Pope Clement IV; 23 November 1190/1200 – 29 November 1268), born Guy Fou<s><s> Summarize: Pope Clement IV (Latin<s><s><s> Summarize: Pope<s><s> The Pope<s> native<s><s><s> native<s><s><s><s><s><s><s><s> native<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s> Summariz<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s> na na<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>","nal: Pope Clement IV (Latin<s> summarize: Pope Clement IV (Latin<s> Pope Clement IV; 23 November 1190/1200 – 29 November 1268), born Guy Fou<s><s> Summarize: Pope Clement IV (Latin<s><s><s> Summarize: Pope<s><s> The Pope<s> native<s><s><s> native<s><s><s><s><s><s><s><s> native<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s> Summariz<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s> na na<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>","Pope clement iv was elected in an election held at perugia on February 5, 1265, and died on 29 November 1268. He was known as ""Pope clement IV"" or ""Guy foucois"" and ""Le Gros"" He was the fourth and last pope to die."
"1505","Year 1505 (MDV) was a common year starting on Wednesday (link will display the full calendar) of the Julian calendar.","Year 1505 (MDV) was a common year starting on Wednesday (link will display the full calendar) of the Julian calendar.","1505 (mdv) was a common year starting on Wednesday of the julian calendar. year 1505 (mdv) was a common year starting on monday (link will display the full calendar)","Year 1505 (MDV) was a common year starting on Wednesday (link will display the full calendar) of the Julian calendar.","Year 1505 (MDV) was a common year starting on Wednesday (link will display the full calendar) of the Julian calendar.","Year 1505 (mdv) was a common year starting on Wednesday. The year 1505 was one of the first years of the Julian calendar. Year 1505 is also known as the Year of the Snows in the Gregorian Calendar. It was the fifth year of the reign of King George III."
"Samuel_Taylor_Coleridge","Samuel Taylor Coleridge (/ˈkoʊləˌrɪdʒ/; 21 October 1772 – 25 July 1834) was an English poet, literary critic and philosopher who, with his friend William Wordsworth, was a founder of the Romantic Movement in England and a member of the Lake Poets. He wrote the poems The Rime of the Ancient Mariner and Kubla Khan, as well as the major prose work Biographia Literaria. His critical work, especially on Shakespeare, was highly influential, and he helped introduce German idealist philosophy to English-speaking culture. Coleridge coined many familiar words and phrases, including suspension of disbelief. He was a major influence on Emerson, and American transcendentalism.Throughout his adult life, Coleridge suffered from crippling bouts of anxiety and depression; it has been speculated that he suffered from bipolar disorder, a condition not identified during his lifetime. He also suffered from poor physical health that may have stemmed from a bout of rheumatic fever and other childhood illnesses. He was treated for these concerns with laudanum, which fostered a lifelong opium addiction.","Samuel Taylor Coleridge (/ˈkoʊlərɪdʒ/; 21 October 1772 – 25 July 1834) was an English poet, literary critic, philosopher, and theologian who, with his friend William Wordsworth, was a founder of the Romantic Movement in England and a member of the Lake Poets. He also shared volumes and collaborated with Charles Lamb, Robert Southey, and Charles Lloyd. He wrote the poems The Rime of the Ancient Mariner and Kubla Khan, as well as the major prose work Biographia Literaria. His critical work, especially on William Shakespeare, was highly influential, and he helped introduce German idealist philosophy to English-speaking culture. Coleridge coined many familiar words and phrases, including \""suspension of disbelief\"". He had a major influence on Ralph Waldo Emerson and American transcendentalism.","Samuel taylor coleridge was an english poet, literary critic and philosopher. he was a founder of the romantic movement in england and a member of the lake poets. he coined many familiar words and phrases, including suspension of disbelief.","Samuel Taylor Coleridge (/ˈkoʊləˌrɪdʒ/; 21 October 1772 – 25 July 1834) was an English poet, literary critic and philosopher who, with his friend William Wordsworth, was a founder of the Romantic Movement in England and a member of the Lake Poets. He wrote the poems The Rime of the Ancient Mariner and Kubla Khan, as well as the major prose work Biographia Literaria.","Samuel Taylor Coleridge (/ˈkoʊləˌrɪdʒ/; 21 October 1772 – 25 July 1834) was an English poet, literary critic and philosopher who, with his friend William Wordsworth, was a founder of the Romantic Movement in England and a member of the Lake Poets. He wrote the poems The Rime of the Ancient Mariner and Kubla Khan, as well as the major prose work Biographia Literaria.","Samuel Taylor Coleridge was an English poet, literary critic, philosopher and writer-turned-philosopher. He was a founder of the romantic movement in england and a member of the lake poets, along with William wordsworth. His critical work, especially on shakespeare, was highly influential, and he helped introduce german idealist philosophy to English-speaking culture."
"Scarabaeidae","The family Scarabaeidae as currently defined consists of over 30,000 species of beetles worldwide. The species in this large family are often called scarabs or scarab beetles. The classification of this family is fairly unstable, with numerous competing theories, and new proposals appearing quite often. It is probable that many of the subfamilies listed here will not be recognized very much longer, as they will likely be reduced in status below subfamily rank, or elevated to family status (the latter is most likely, e.g., with the family ""Melolonthidae"" already appearing in some recent classifications). Other families have been removed recently, and are nearly universally accepted (e.g., Pleocomidae, Glaresidae, Glaphyridae, Ochodaeidae, Geotrupidae, and Bolboceratidae).","The family Scarabaeidae, as currently defined, consists of over 30,000 species of beetles worldwide; they are often called scarabs or scarab beetles. The classification of this family has undergone significant change in recent years. Several subfamilies have been elevated to family rank (e.g., Pleocomidae, Glaresidae, Glaphyridae, Ochodaeidae, and Geotrupidae), and some reduced to lower ranks. The subfamilies listed in this article are in accordance with those in Bouchard (2011).","the family scarabaeidae consists of over 30,000 species of beetles worldwide. the classification of this family is fairly unstable, with numerous competing theories. many of the subfamilies listed here will not be recognized very much longer.","The family Scarabaeidae as currently defined consists of over 30,000 species of beetles worldwide. The species in this large family are often called scarabs or scarab beetles. The classification of this family is fairly unstable, with numerous competing theories, and new proposals appearing quite often.","The family Scarabaeidae as currently defined consists of over 30,000 species of beetles worldwide. The species in this large family are often called scarabs or scarab beetles. The classification of this family is fairly unstable, with numerous competing theories, and new proposals appearing quite often.","The family scarabaeidae as currently defined consists of over 30,000 species of beetles worldwide. The family's classification is fairly unstable, with numerous competing theories, and new proposals appearing often. Many of the subfamilies listed here will likely be reduced in status below subfamily rank, or elevated to family status."
"436_BC","Year 436 BC was a year of the pre-Julian Roman calendar. At the time, it was known as the Year of the Consulship of Crassus and Cornelius (or, less frequently, year 318 Ab urbe condita). The denomination 436 BC for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","Year 436 BC was a year of the pre-Julian Roman calendar. At the time, it was known as the Year of the Consulship of Crassus and Cornelius (or, less frequently, year 318 Ab urbe condita). The denomination 436 BC for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","436 BC was a year of the pre-julian roman calendar. it was known as the Year of the Consulship of Crassus and cornelius. the denomination 436 BC for this year has been used since the early medieval period.","rizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizriz nariz<s> 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436.","rizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizrizriz nariz<s> 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436.","Year 436 bc was a year of the pre-julian roman calendar. The year 436 bc has been used since the early medieval period as the year of crassus and cornelius. The denomination 436 bc for this year has been in use since early medieval times."
"Snowball","A snowball is a spherical object made from snow, usually created by scooping snow with the hands, and compacting it into a roughly fist-sized ball. The snowball is often used to engage in games, such as snowball fights. Snowball fights are usually light-hearted and involve throwing snowballs at one's friends or family. The pressure exerted by the hands on the snow is a determinant for the final result. Reduced pressure leads to a light and soft snowball. Compacting humid or ""packing"" snow, by applying a high pressure produces a harder snowball or ""iceball"", which eventually can be considered harmful during a snowball fight. A snowball may also be a large ball of snow formed by rolling a smaller snowball on a snow-covered surface. The smaller snowball grows by picking up additional snow as it rolls. The terms "" snowball effect"", ""snowballing"" and "" Y Gasseg Eira"" are named after this process. Often a snowman can be created using this method of snowballing, to create the sections needed to build the sculpture. There are some temperature/humidity ranges that prohibit or restrict the formulation of a snowball. With a powdery snow, snowballs are difficult to form. In temperatures below 0 °C (32 °F), there is little free water in the snow, which leads to crumbly snowballs. At 0 °C (32 °F) or above, melted water in the snow results in a better cohesion. If a person is walking on snow and it squeaks, chances are the temperature/humidity level won't form a snowball, because squeaking means that the snow is dry.","A snowball is a spherical object made from snow, usually created by scooping snow with the hands, and pressing the snow together to compact it into a ball. Snowballs are often used in games such as snowball fights.","a snowball is a spherical object made from snow, usually created by scooping it with the hands. the pressure exerted by the hands on the snow is a determinant for the final result. there are some temperature/humidity ranges that prohibit or restrict the formulation of a snowball.","A snowball is a spherical object made from snow, usually created by scooping snow with the hands, and compacting it into a roughly fist-sized ball. The snowball is often used to engage in games, such as snowball fights.","A snowball is a spherical object made from snow, usually created by scooping snow with the hands, and compacting it into a roughly fist-sized ball. The snowball is often used to engage in games, such as snowball fights.","A snowball is a spherical object made from snow, usually created by scooping snow with the hands, and compacting it into a roughly fist-sized ball. Snowballs are often used to engage in games, such as snowball fights. A snowball may also be a large ball of snow formed by rolling a smaller snowball."
"Internet_Relay_Chat","Internet Relay Chat (IRC) is an application layer protocol that facilitates the transfer of messages in the form of text. The chat process works on a client/server networking model. IRC clients are computer programs that a user can install on their system. These clients communicate with chat servers to transfer messages to other clients.  IRC is mainly designed for group communication in discussion forums, called ,  but also allows one-on-one communication via private messages as well as chat and data transfer,  including file sharing. Client software is available for every major operating system that supports Internet access.  As of April 2011, the top 100 IRC networks served more than half a million users at a time,  with hundreds of thousands of channels  operating on a total of roughly 1,500 servers  out of roughly 3,200 servers worldwide. Over the past decade IRC usage has been declining: since 2003 it has lost 60% of its users (from 1 million to about 400,000 in 2014) and half of its channels (from half a million in 2003).","Internet Relay Chat (IRC) is a text-based chat (instant messaging) system. IRC is designed for group communication in discussion forums, called , but also allows one-on-one communication via private messages as well as chat and data transfer, including file sharing. IRC usage has been declining steadily since 2003, losing 60 percent of its users. In April 2011, the top 100 IRC networks served more than half a million users at a time.","IRC is an application layer protocol that facilitates the transfer of messages in the form of text. IRC clients are computer programs that a user can install on their system. IRC usage has been declining: since 2003 it has lost 60% of its users.","lay Chat (IRC) is an application layer protocol that facilitates the transfer of messages in the form of text. The chat process works on a client/server networking model.","lay Chat (IRC) is an application layer protocol that facilitates the transfer of messages in the form of text. The chat process works on a client/server networking model.","Internet relay chat (irc) is an application layer protocol that facilitates the transfer of messages in the form of text. irc is mainly designed for group communication in discussion forums, called, but also allows one-on-one communication via private messages as well as chat and data transfer."
"Linda_Hamilton","Linda Carroll Hamilton (September 26, 1956) is an American actress best known for her portrayal of Sarah Connor in The Terminator film series and Catherine Chandler in the 1987–1990 television series Beauty and the Beast, for which she was nominated for two Golden Globes and an Emmy. Hamilton had a recurring role as Mary Elizabeth Bartowski on NBC's Chuck.","Linda Carroll Hamilton (born September 26, 1956) is an American actress. She played Sarah Connor in the Terminator film series and Catherine Chandler in the television series Beauty and the Beast (1987–1990), for which she was nominated for two Golden Globe Awards and an Emmy Award. She also starred as Vicky Baxter in the horror film Children of the Corn (1984), Doctor Amy Franklin in the monster film King Kong Lives (1986), and Mayor Rachel Wando in the disaster thriller film Dante's Peak (1997). Hamilton had a recurring role as Mary Elizabeth Bartowski on NBC's Chuck.","Linda Carroll Hamilton (September 26, 1956) is an american actress. she is best known for her roles in beauty and the beast and in the tv series beauty and the beast. she was nominated for two golden globes and an emmy for both roles.","ll Hamilton (September 26, 1956) is an American actress best known for her portrayal of Sarah Connor in The Terminator film series and Catherine Chandler in the 1987–1990 television series Beauty and the Beast, for which she was nominated for two Golden Globes and an Emmy. Hamilton had a recurring role as Mary Elizabeth Bartowski on NBC's Chuck.","ll Hamilton (September 26, 1956) is an American actress best known for her portrayal of Sarah Connor in The Terminator film series and Catherine Chandler in the 1987–1990 television series Beauty and the Beast, for which she was nominated for two Golden Globes and an Emmy. Hamilton had a recurring role as Mary Elizabeth Bartowski on NBC's Chuck.","Linda hamilton is an American actress best known for her roles in ""Terminator"" and ""Beauty and the Beast"" She was nominated for two golden globes and an emmy for her role in ""beautiful and the beast"" She also played Catherine chandler in the 1987-1990 television series."
